"Story","Title","Result","Date","Stability","Duration (s)"
"Catalog tests","Check blouses subsections title banner and liste itmes","SUCCESS","2017-03-31T14:27:45.500+03:00","0.0","14.27"
"Catalog tests","Check casual dresses sub section from dresses title banner and listed items","SUCCESS","2017-03-31T14:28:20.616+03:00","0.0","16.31"
"Catalog tests","Check dresses pages title and banner and listed items","SUCCESS","2017-03-31T14:27:07.988+03:00","0.0","16.31"
"Catalog tests","Check if women products are in stock","SUCCESS","2017-03-31T14:26:48.412+03:00","0.0","18.38"
"Catalog tests","Check if women products are sorted alphabetically ato z","SUCCESS","2017-03-31T14:28:54.822+03:00","0.0","19.9"
"Catalog tests","Check if women products are sorted alphabetically zto a","FAILURE","2017-03-31T14:29:15.357+03:00","0.0","19.83"
"Catalog tests","Check t shirt sub section title banner and listed items","SUCCESS","2017-03-31T14:29:51.815+03:00","0.0","16.13"
"Catalog tests","Check t shirt title and banner and listed items","SUCCESS","2017-03-31T14:29:35.799+03:00","0.0","15.35"
"Catalog tests","Check women product list is correctly sorted by price high to low","FAILURE","2017-03-31T14:28:00.362+03:00","0.0","19.34"
"Catalog tests","Check women product list is correctly sorted by price low to high","SUCCESS","2017-03-31T14:27:25.193+03:00","0.0","19.76"
"Catalog tests","Click catalog checkbox from women section and verify filtering","SUCCESS","2017-03-31T14:28:37.856+03:00","0.0","16.23"
"Catalog tests","Click color checkbox from women section and verify filtering","SUCCESS","2017-03-31T14:30:08.664+03:00","0.0","17.3"
"Catalog tests","Navigate to women section and check landing page","SUCCESS","2017-03-31T14:30:26.629+03:00","0.0","16.54"
